file,line,mock_kind,target,area,classification,retained_reason,cleanup_batch,basis,annotation
apps/api/eval-llm/flows/exchanges.test.ts,3,jest.mock,../runner/llm-client,API eval-llm tests,P3,external-boundary: eval harness LLM transport client,Retain,eval-llm-transport-wrapper,pattern-a; gc1-allow: pattern-a conversion
apps/api/src/inngest/functions/account-deletion.test.ts,9,jest.mock,../helpers,API Inngest tests,P1,critical-workflow: API internal module mock,Batch 2 - Inngest workflow harness,api-critical-workflow-target,gc1-allow: getStepDatabase wraps Inngest step-level DB acquisition; must be intercepted to inject mockDb without a real Neon connection
apps/api/src/inngest/functions/account-deletion.test.ts,16,jest.mock,../../services/deletion,API Inngest tests,P1,critical-workflow: sibling service behavior mocked,Batch 2 - Inngest workflow harness,api-critical-workflow-target,gc1-allow: prevents destructive account deletion in unit tests
apps/api/src/inngest/functions/archive-cleanup.test.ts,6,jest.mock,../client,API Inngest tests,P3,transport-boundary: Inngest dispatch/client capture,Retain,inngest-transport-wrapper,pattern-a; gc1-allow: pattern-a conversion
apps/api/src/inngest/functions/archive-cleanup.test.ts,16,jest.mock,../../services/consent,API Inngest tests,P1,critical-workflow: sibling service behavior mocked,Batch 2 - Inngest workflow harness,api-critical-workflow-target,pattern-a; gc1-allow: pattern-a conversion
apps/api/src/inngest/functions/archive-cleanup.test.ts,32,jest.mock,../../services/deletion,API Inngest tests,P1,critical-workflow: sibling service behavior mocked,Batch 2 - Inngest workflow harness,api-critical-workflow-target,pattern-a; gc1-allow: pattern-a conversion
apps/api/src/inngest/functions/ask-classification-observe.test.ts,6,jest.mock,../../services/sentry,API Inngest tests,P3,observability: logging or error-capture sink,Retain,observability-wrapper,pattern-a; gc1-allow: pattern-a conversion
apps/api/src/inngest/functions/ask-classification-observe.test.ts,26,jest.mock,../client,API Inngest tests,P3,transport-boundary: Inngest dispatch/client capture,Retain,inngest-transport-wrapper,pattern-a; gc1-allow: pattern-a conversion
apps/api/src/inngest/functions/ask-gate-observe.test.ts,15,jest.mock,../client,API Inngest tests,P3,transport-boundary: Inngest dispatch/client capture,Retain,inngest-transport-wrapper,gc1-allow: observer test requires inngest client mock to expose trigger metadata
apps/api/src/inngest/functions/ask-silent-classify.test.ts,17,jest.mock,../../services/subject-classify,API Inngest tests,P1,critical-workflow: sibling service behavior mocked,Batch 2 - Inngest workflow harness,api-critical-workflow-target,pattern-a; gc1-allow: pattern-a conversion
